T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;a;Sy.min;Sy.average;Su.min;Su.average;SmB_etanche;SmB_non_etanche;SB;T_fluage;D_irneg;D_irmax
20;15.3;15.3;200000;0.3;7930;14.28;472;;450;;700;;150;150;112;;;
50;15.5;15.7;197000;0.3;7919;14.73;485;;425;;700;;141;141;112;;;
75;15.7;16.1;195000;0.3;7909;15.105;493;;403;;700;;134;134;112;;;
100;15.9;16.5;193000;0.3;7899;15.48;501;;382;;700;;127;127;112;;;
125;16.05;16.8;191000;0.3;7889;15.855;506.5;;377;;700;;125;125;112;;;
150;16.2;17.1;189000;0.3;7879;16.23;512;;371;;700;;124;124;112;;;
175;16.4;17.45;187000;0.3;7868.5;16.605;517;;366;;700;;122;122;112;;;
200;16.6;17.8;185000;0.3;7858;16.98;522;;360;;700;;120;120;112;;;
225;16.75;18.05;183000;0.3;7847.5;17.36;526;;354;;700;;118;118;112;;;
250;16.9;18.3;180000;0.3;7837;17.74;530;;349;;700;;116;116;112;;;
275;17.05;18.6;178000;0.3;7826;18.115;534;;343;;700;;114;114;112;;;
300;17.2;18.9;176000;0.3;7815;18.49;538;;337;;700;;112;112;112;;;
325;17.35;19.1;174000;0.3;7804;18.865;542;;332;;700;;110;110;110;;;
350;17.5;19.3;172000;0.3;7793;19.24;546;;326;;700;;109;109;109;;;
375;17.65;19.55;170000;0.3;7781.5;19.615;551;;321;;700;;107;107;107;;;
400;17.8;19.8;168000;0.3;7770;19.99;556;;315;;700;;105;105;105;;;
425;17.9;19.95;166000;0.3;7758.5;20.365;561.5;;;;;;;;;;;
450;18;20.1;164000;0.3;7747;20.74;567;;;;;;;;;;;
475;18.15;20.3;161000;0.3;7735.5;21.115;572.5;;;;;;;;;;;
500;18.3;20.5;159000;0.3;7724;21.49;578;;;;;;;;;;;
525;18.4;20.6;157000;0.3;7712.5;21.865;584;;;;;;;;;;;
550;18.5;20.7;155000;0.3;7701;22.24;590;;;;;;;;;;;
575;18.6;20.85;153000;0.3;7689;22.615;595.5;;;;;;;;;;;
600;18.7;21;151000;0.3;7677;22.99;601;;;;;;;;;;;
625;18.8;21.05;149000;0.3;7665.5;23.365;605.5;;;;;;;;;;;
650;18.9;21.1;147000;0.3;7654;23.74;610;;;;;;;;;;;
675;18.95;21.2;144000;0.3;7642;24.115;612.5;;;;;;;;;;;
700;19;21.3;142000;0.3;7630;24.49;615;;;;;;;;;;;
750;19.2;21.3;;0.3;7606;25.25;615;;;;;;;;;;;
800;19.3;21.4;;0.3;7582;26;607;;;;;;;;;;;
850;19.5;21.3;;0.3;;;;;;;;;;;;;;
900;19.6;21.3;;0.3;;;;;;;;;;;;;;
950;19.7;;;0.3;;;;;;;;;;;;;;
1000;19.7;;;0.3;;;;;;;;;;;;;;
